LGOROWLENGTH	27
LGOMCCMYKSEPARATION	"UseCMYKSep = true Separation = { SepID = 6 StartK = '40' WidthK = '1' MaxC = '100' MaxM = '100' MaxY = '100' MaxK = '100' MaxCMYK = '400' } "
CREATED	"11/24/2005"  # Time: 14:22
KEYWORD	"SampleID"
KEYWORD	"SAMPLE_NAME"
NUMBER_OF_FIELDS	5
BEGIN_DATA_FORMAT
SampleID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B
END_DATA_FORMAT
NUMBER_OF_SETS	918
BEGIN_DATA
737	2B8	128.00	128.00	128.00
738	2B9	144.00	144.00	144.00
739	2B10	160.00	160.00	160.00
740	2B11	176.00	176.00	176.00
741	2B12	192.00	192.00	192.00
742	2B13	208.00	208.00	208.00
743	2B14	224.00	224.00	224.00
744	2B15	240.00	240.00	240.00
745	2B16	244.00	244.00	244.00
746	2B17	233.00	233.00	233.00
747	2B18	207.00	207.00	207.00
748	2B19	11.00	0.00	0.00
749	2B20	0.00	11.00	0.00
750	2B21	0.00	0.00	11.00
751	2B22	22.00	0.00	0.00
752	2B23	0.00	22.00	0.00
753	2B24	0.00	0.00	22.00
754	2B25	48.00	0.00	0.00
755	2B26	0.00	48.00	0.00
756	2B27	0.00	0.00	48.00
757	2C1	32.00	16.00	16.00
758	2C2	48.00	32.00	32.00
759	2C3	64.00	48.00	48.00
760	2C4	80.00	64.00	64.00
761	2C5	96.00	80.00	80.00
762	2C6	112.00	96.00	96.00
763	2C7	128.00	112.00	112.00
764	2C8	144.00	128.00	128.00
765	2C9	160.00	144.00	144.00
766	2C10	176.00	160.00	160.00
767	2C11	192.00	176.00	176.00
768	2C12	208.00	192.00	192.00
769	2C13	224.00	208.00	208.00
770	2C14	240.00	224.00	224.00
771	2C15	255.00	240.00	240.00
772	2C16	255.00	244.00	244.00
773	2C17	255.00	233.00	233.00
774	2C18	255.00	207.00	207.00
775	2C19	244.00	0.00	0.00
776	2C20	255.00	11.00	0.00
777	2C21	255.00	0.00	11.00
778	2C22	233.00	0.00	0.00
779	2C23	255.00	22.00	0.00
780	2C24	255.00	0.00	22.00
781	2C25	207.00	0.00	0.00
782	2C26	255.00	48.00	0.00
783	2C27	255.00	0.00	48.00
784	2D1	16.00	32.00	16.00
785	2D2	32.00	48.00	32.00
786	2D3	48.00	64.00	48.00
787	2D4	64.00	80.00	64.00
788	2D5	80.00	96.00	80.00
789	2D6	96.00	112.00	96.00
790	2D7	112.00	128.00	112.00
791	2D8	128.00	144.00	128.00
792	2D9	144.00	160.00	144.00
793	2D10	160.00	176.00	160.00
794	2D11	176.00	192.00	176.00
795	2D12	192.00	208.00	192.00
796	2D13	208.00	224.00	208.00
797	2D14	224.00	240.00	224.00
798	2D15	240.00	255.00	240.00
799	2D16	244.00	255.00	244.00
800	2D17	233.00	255.00	233.00
801	2D18	207.00	255.00	207.00
802	2D19	11.00	255.00	0.00
803	2D20	0.00	244.00	0.00
804	2D21	0.00	255.00	11.00
805	2D22	22.00	255.00	0.00
806	2D23	0.00	233.00	0.00
807	2D24	0.00	255.00	22.00
808	2D25	48.00	255.00	0.00
809	2D26	0.00	207.00	0.00
810	2D27	0.00	255.00	48.00
811	2E1	16.00	16.00	32.00
812	2E2	32.00	32.00	48.00
813	2E3	48.00	48.00	64.00
814	2E4	64.00	64.00	80.00
815	2E5	80.00	80.00	96.00
816	2E6	96.00	96.00	112.00
817	2E7	112.00	112.00	128.00
818	2E8	128.00	128.00	144.00
819	2E9	144.00	144.00	160.00
820	2E10	160.00	160.00	176.00
821	2E11	176.00	176.00	192.00
822	2E12	192.00	192.00	208.00
823	2E13	208.00	208.00	224.00
824	2E14	224.00	224.00	240.00
825	2E15	240.00	240.00	255.00
826	2E16	244.00	244.00	255.00
827	2E17	233.00	233.00	255.00
828	2E18	207.00	207.00	255.00
829	2E19	11.00	0.00	255.00
830	2E20	0.00	11.00	255.00
831	2E21	0.00	0.00	244.00
832	2E22	22.00	0.00	255.00
833	2E23	0.00	22.00	255.00
834	2E24	0.00	0.00	233.00
835	2E25	48.00	0.00	255.00
836	2E26	0.00	48.00	255.00
837	2E27	0.00	0.00	207.00
838	2F1	0.00	16.00	16.00
839	2F2	16.00	32.00	32.00
840	2F3	32.00	48.00	48.00
841	2F4	48.00	64.00	64.00
842	2F5	64.00	80.00	80.00
843	2F6	80.00	96.00	96.00
844	2F7	96.00	112.00	112.00
845	2F8	112.00	128.00	128.00
846	2F9	128.00	144.00	144.00
847	2F10	144.00	160.00	160.00
848	2F11	160.00	176.00	176.00
849	2F12	176.00	192.00	192.00
850	2F13	192.00	208.00	208.00
851	2F14	208.00	224.00	224.00
852	2F15	224.00	240.00	240.00
853	2F16	244.00	255.00	255.00
854	2F17	233.00	255.00	255.00
855	2F18	207.00	255.00	255.00
856	2F19	11.00	255.00	255.00
857	2F20	0.00	244.00	255.00
858	2F21	0.00	255.00	244.00
859	2F22	22.00	255.00	255.00
860	2F23	0.00	233.00	255.00
861	2F24	0.00	255.00	233.00
862	2F25	48.00	255.00	255.00
863	2F26	0.00	207.00	255.00
864	2F27	0.00	255.00	207.00
865	2G1	16.00	0.00	16.00
866	2G2	32.00	16.00	32.00
867	2G3	48.00	32.00	48.00
868	2G4	64.00	48.00	64.00
869	2G5	80.00	64.00	80.00
870	2G6	96.00	80.00	96.00
871	2G7	112.00	96.00	112.00
872	2G8	128.00	112.00	128.00
873	2G9	144.00	128.00	144.00
874	2G10	160.00	144.00	160.00
875	2G11	176.00	160.00	176.00
876	2G12	192.00	176.00	192.00
877	2G13	208.00	192.00	208.00
878	2G14	224.00	208.00	224.00
879	2G15	240.00	224.00	240.00
880	2G16	255.00	244.00	255.00
881	2G17	255.00	233.00	255.00
882	2G18	255.00	207.00	255.00
883	2G19	255.00	11.00	255.00
884	2G20	244.00	0.00	255.00
885	2G21	255.00	0.00	244.00
886	2G22	255.00	22.00	255.00
887	2G23	233.00	0.00	255.00
888	2G24	255.00	0.00	233.00
889	2G25	255.00	48.00	255.00
890	2G26	207.00	0.00	255.00
891	2G27	255.00	0.00	207.00
892	2H1	16.00	16.00	0.00
893	2H2	32.00	32.00	16.00
894	2H3	48.00	48.00	32.00
895	2H4	64.00	64.00	48.00
896	2H5	80.00	80.00	64.00
897	2H6	96.00	96.00	80.00
898	2H7	112.00	112.00	96.00
899	2H8	128.00	128.00	112.00
900	2H9	144.00	144.00	128.00
901	2H10	160.00	160.00	144.00
902	2H11	176.00	176.00	160.00
903	2H12	192.00	192.00	176.00
904	2H13	208.00	208.00	192.00
905	2H14	224.00	224.00	208.00
906	2H15	240.00	240.00	224.00
907	2H16	255.00	255.00	244.00
908	2H17	255.00	255.00	233.00
909	2H18	255.00	255.00	207.00
910	2H19	255.00	255.00	11.00
911	2H20	244.00	255.00	0.00
912	2H21	255.00	244.00	0.00
913	2H22	255.00	255.00	22.00
914	2H23	233.00	255.00	0.00
915	2H24	255.00	233.00	0.00
916	2H25	255.00	255.00	48.00
917	2H26	207.00	255.00	0.00
918	2H27	255.00	207.00	0.00
END_DATA
